ID,Prediction
1,4
2,3
3,3
4,3
5,4
6,4
7,9
8,3
9,1
10,4
11,3
12,3
13,1
14,3
15,3
16,3
17,4
18,4
19,4
20,4
21,4
22,10
23,4
24,4
25,10
26,4
27,4
28,4
29,4
30,6
31,4
32,7
33,3
34,4
35,7
36,4
37,4
38,4
39,6
40,6
41,4
42,4
43,9
44,9
45,4
46,8
47,4
48,9
49,3
50,4
51,4
52,4
53,3
54,3
55,4
56,2
57,2
58,2
59,2
60,2
61,3
62,3
63,3
64,3
65,3
66,4
67,4
68,4
69,4
70,4
71,4
72,5
73,4
74,5
75,5
76,4
77,3
78,3
79,4
80,4
81,1
82,7
83,7
84,7
85,7
86,4
87,4
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,3
98,4
99,4
100,4
101,4
102,4
103,3
104,1
105,1
106,2
107,7
108,2
109,2
110,2
111,3
112,3
113,2
114,3
115,3
116,4
117,4
118,3
119,4
120,8
121,5
122,10
123,5
124,8
125,9
126,4
127,4
128,4
129,4
130,6
131,3
132,7
133,3
134,5
135,7
136,8
137,8
138,8
139,8
140,3
141,9
142,9
143,4
144,4
145,4
146,4
147,10
148,9
149,10
150,4
151,3
152,4
153,3
154,3
155,4
156,4
157,4
158,4
159,4
160,2
161,5
162,3
163,6
164,3
165,7
166,6
167,4
168,4
169,4
170,4
171,5
172,5
173,5
174,10
175,5
176,3
177,6
178,6
179,4
180,6
181,7
182,6
183,6
184,8
185,3
186,4
187,4
188,4
189,8
190,4
191,4
192,4
193,4
194,4
195,4
196,4
197,8
198,4
199,4
200,8
201,3
202,4
203,4
204,4
205,4
206,2
207,2
208,9
209,9
210,2
211,3
212,3
213,3
214,3
215,4
216,4
217,4
218,4
219,4
220,4
221,5
222,5
223,4
224,5
225,4
226,4
227,4
228,6
229,6
230,4
231,7
232,9
233,7
234,3
235,6
236,4
237,4
238,4
239,8
240,4
241,4
242,4
243,9
244,6
245,9
246,4
247,4
248,8
249,9
250,4
251,3
252,4
253,4
254,4
255,4
256,2
257,6
258,9
259,3
260,3
261,3
262,3
263,3
264,3
265,3
266,4
267,4
268,4
269,4
270,4
271,4
272,9
273,4
274,5
275,10
276,4
277,9
278,4
279,6
280,3
281,7
282,3
283,7
284,7
285,3
286,3
287,3
288,4
289,4
290,5
291,4
292,9
293,3
294,4
295,4
296,4
297,4
298,4
299,4
300,4
301,4
302,3
303,8
304,1
305,1
306,2
307,2
308,2
309,2
310,2
311,3
312,3
313,3
314,3
315,3
316,4
317,4
318,4
319,4
320,4
321,5
322,8
323,8
324,8
325,8
326,9
327,6
328,4
329,3
330,4
331,3
332,7
333,7
334,7
335,7
336,4
337,4
338,4
339,4
340,8
341,9
342,4
343,4
344,4
345,4
346,9
347,8
348,9
349,3
350,9
351,4
352,4
353,4
354,4
355,4
356,9
357,2
358,9
359,9
360,6
361,3
362,4
363,4
364,3
365,4
366,4
367,4
368,4
369,4
370,4
371,4
372,8
373,5
374,5
375,8
376,4
377,4
378,4
379,4
380,4
381,4
382,4
383,4
384,4
385,4
386,4
387,4
388,4
389,4
390,4
391,4
392,4
393,4
394,4
395,4
396,4
397,4
398,4
399,4
400,4
401,10
402,6
403,3
404,1
405,3
406,6
407,5
408,2
409,2
410,3
411,7
412,6
413,9
414,3
415,4
416,4
417,4
418,4
419,3
420,4
421,7
422,10
423,7
424,5
425,3
426,9
427,10
428,4
429,6
430,9
431,6
432,6
433,7
434,7
435,4
436,8
437,8
438,4
439,4
440,8
441,7
442,9
443,4
444,4
445,4
446,4
447,3
448,10
449,4
450,8
451,4
452,4
453,6
454,1
455,3
456,3
457,9
458,2
459,9
460,9
461,3
462,3
463,3
464,3
465,3
466,4
467,4
468,4
469,4
470,4
471,10
472,4
473,3
474,5
475,5
476,4
477,4
478,4
479,4
480,6
481,6
482,7
483,7
484,8
485,6
486,4
487,4
488,4
489,4
490,4
491,4
492,6
493,9
494,4
495,4
496,4
497,4
498,9
499,9
500,10
501,3
502,4
503,3
504,6
505,6
506,4
507,9
508,7
509,6
510,6
511,4
512,3
513,4
514,4
515,3
516,4
517,4
518,4
519,4
520,4
521,4
522,4
523,4
524,5
525,8
526,4
527,4
528,4
529,4
530,4
531,3
532,4
533,4
534,3
535,4
536,3
537,3
538,4
539,4
540,4
541,4
542,4
543,4
544,4
545,7
546,4
547,4
548,4
549,4
550,4
551,4
552,4
553,3
554,1
555,1
556,2
557,4
558,9
559,3
560,7
561,7
562,7
563,6
564,3
565,3
566,4
567,4
568,4
569,9
570,9
571,10
572,9
573,8
574,8
575,5
576,9
577,9
578,9
579,4
580,10
581,10
582,5
583,10
584,7
585,5
586,8
587,8
588,8
589,1
590,10
591,10
592,6
593,9
594,9
595,9
596,4
597,4
598,10
599,9
600,9
601,1
602,4
603,4
604,4
605,4
606,3
607,6
608,9
609,4
610,4
611,3
612,4
613,3
614,4
615,4
616,4
617,4
618,4
619,4
620,4
621,4
622,9
623,5
624,4
625,9
626,4
627,4
628,4
629,4
630,4
631,7
632,6
633,7
634,4
635,3
636,4
637,4
638,4
639,4
640,4
641,4
642,4
643,4
644,4
645,4
646,4
647,4
648,4
649,4
650,4
651,1
652,1
653,1
654,1
655,9
656,2
657,2
658,2
659,7
660,2
661,3
662,10
663,2
664,4
665,10
666,4
667,4
668,8
669,10
670,8
671,5
672,5
673,10
674,5
675,7
676,6
677,6
678,4
679,6
680,6
681,7
682,3
683,7
684,1
685,7
686,8
687,8
688,8
689,8
690,9
691,9
692,9
693,10
694,9
695,9
696,4
697,4
698,10
699,4
700,10
701,4
702,4
703,4
704,4
705,4
706,9
707,3
708,7
709,9
710,3
711,3
712,3
713,4
714,4
715,4
716,4
717,4
718,4
719,4
720,4
721,3
722,7
723,3
724,3
725,3
726,4
727,4
728,4
729,4
730,6
731,6
732,6
733,4
734,4
735,3
736,4
737,4
738,4
739,4
740,4
741,4
742,4
743,4
744,4
745,3
746,4
747,4
748,4
749,4
750,4
751,1
752,4
753,3
754,1
755,3
756,2
757,9
758,2
759,2
760,2
761,3
762,3
763,3
764,3
765,3
766,4
767,4
768,4
769,4
770,4
771,4
772,5
773,5
774,10
775,10
776,6
777,4
778,4
779,6
780,4
781,7
782,10
783,7
784,7
785,7
786,8
787,3
788,4
789,3
790,4
791,4
792,3
793,4
794,4
795,4
796,4
797,4
798,4
799,10
800,4
801,6
802,4
803,4
804,1
805,1
806,9
807,4
808,2
809,2
810,2
811,4
812,3
813,3
814,3
815,2
816,4
817,4
818,4
819,4
820,4
821,5
822,5
823,5
824,7
825,10
826,10
827,4
828,6
829,6
830,4
831,4
832,10
833,7
834,7
835,7
836,10
837,4
838,4
839,8
840,2
841,9
842,4
843,9
844,9
845,4
846,4
847,10
848,10
849,10
850,10
851,1
852,6
853,1
854,1
855,4
856,2
857,7
858,7
859,9
860,2
861,4
862,4
863,3
864,3
865,4
866,8
867,4
868,4
869,4
870,4
871,8
872,10
873,5
874,5
875,9
876,6
877,4
878,4
879,4
880,6
881,3
882,7
883,6
884,9
885,6
886,4
887,4
888,4
889,4
890,4
891,4
892,9
