ID,Prediction
1,4
2,3
3,3
4,3
5,1
6,2
7,2
8,3
9,3
10,2
11,4
12,3
13,3
14,3
15,3
16,3
17,4
18,2
19,4
20,4
21,9
22,10
23,8
24,5
25,9
26,4
27,6
28,6
29,4
30,9
31,4
32,7
33,3
34,9
35,7
36,2
37,8
38,3
39,3
40,6
41,9
42,4
43,9
44,9
45,4
46,8
47,4
48,10
49,3
50,5
51,3
52,3
53,3
54,1
55,1
56,2
57,2
58,2
59,2
60,2
61,3
62,3
63,3
64,3
65,3
66,4
67,4
68,4
69,4
70,4
71,5
72,5
73,5
74,5
75,5
76,4
77,1
78,1
79,4
80,4
81,7
82,7
83,7
84,7
85,7
86,4
87,2
88,3
89,9
90,3
91,9
92,9
93,9
94,9
95,9
96,10
97,9
98,10
99,4
100,4
101,1
102,8
103,1
104,1
105,1
106,2
107,2
108,2
109,2
110,2
111,3
112,3
113,3
114,6
115,3
116,4
117,4
118,3
119,4
120,4
121,5
122,5
123,5
124,8
125,5
126,6
127,4
128,6
129,4
130,6
131,9
132,7
133,7
134,5
135,7
136,8
137,8
138,4
139,3
140,3
141,9
142,6
143,6
144,9
145,4
146,9
147,10
148,9
149,10
150,10
151,1
152,4
153,1
154,1
155,3
156,2
157,4
158,2
159,8
160,2
161,5
162,3
163,3
164,3
165,3
166,9
167,4
168,4
169,4
170,4
171,5
172,5
173,5
174,5
175,5
176,10
177,6
178,10
179,4
180,6
181,7
182,6
183,6
184,10
185,1
186,4
187,3
188,4
189,8
190,3
191,4
192,4
193,9
194,4
195,4
196,4
197,8
198,10
199,8
200,10
201,1
202,1
203,1
204,1
205,1
206,2
207,2
208,9
209,2
210,2
211,3
212,3
213,3
214,3
215,4
216,4
217,4
218,4
219,4
220,4
221,5
222,5
223,8
224,5
225,5
226,4
227,4
228,6
229,6
230,4
231,7
232,3
233,7
234,7
235,6
236,4
237,3
238,3
239,8
240,8
241,9
242,9
243,9
244,9
245,9
246,4
247,4
248,8
249,8
250,9
251,3
252,3
253,4
254,3
255,8
256,2
257,2
258,2
259,2
260,3
261,3
262,3
263,3
264,3
265,3
266,4
267,4
268,4
269,4
270,4
271,9
272,9
273,9
274,10
275,10
276,2
277,9
278,4
279,6
280,6
281,9
282,3
283,7
284,7
285,7
286,8
287,3
288,4
289,4
290,8
291,4
292,9
293,9
294,3
295,4
296,10
297,10
298,10
299,10
300,8
301,10
302,1
303,10
304,1
305,1
306,2
307,2
308,2
309,2
310,2
311,3
312,3
313,3
314,3
315,3
316,4
317,4
318,4
319,4
320,4
321,5
322,8
323,10
324,10
325,8
326,8
327,6
328,6
329,8
330,9
331,7
332,7
333,7
334,7
335,7
336,8
337,2
338,8
339,8
340,8
341,10
342,10
343,1
344,1
345,3
346,8
347,10
348,9
349,8
350,3
351,1
352,3
353,3
354,3
355,1
356,2
357,2
358,2
359,2
360,9
361,3
362,4
363,4
364,3
365,3
366,4
367,4
368,4
369,4
370,4
371,8
372,8
373,5
374,5
375,8
376,6
377,4
378,4
379,4
380,4
381,6
382,4
383,6
384,4
385,4
386,4
387,8
388,2
389,8
390,4
391,4
392,9
393,4
394,4
395,4
396,10
397,10
398,4
399,4
400,4
401,10
402,6
403,1
404,1
405,1
406,3
407,5
408,2
409,2
410,3
411,3
412,3
413,3
414,3
415,4
416,4
417,4
418,4
419,4
420,4
421,9
422,10
423,7
424,5
425,5
426,9
427,9
428,6
429,6
430,5
431,7
432,7
433,7
434,7
435,6
436,8
437,8
438,4
439,4
440,8
441,9
442,9
443,4
444,9
445,4
446,8
447,3
448,9
449,4
450,10
451,1
452,1
453,1
454,1
455,1
456,3
457,2
458,2
459,2
460,2
461,3
462,3
463,3
464,4
465,3
466,4
467,4
468,4
469,4
470,4
471,5
472,5
473,5
474,5
475,5
476,6
477,5
478,4
479,4
480,6
481,7
482,7
483,7
484,7
485,6
486,4
487,8
488,8
489,9
490,3
491,9
492,9
493,9
494,4
495,9
496,9
497,9
498,9
499,4
500,10
501,1
502,3
503,1
504,2
505,6
506,4
507,2
508,3
509,8
510,9
511,3
512,3
513,3
514,3
515,3
516,4
517,4
518,4
519,4
520,2
521,8
522,9
523,8
524,5
525,8
526,4
527,4
528,7
529,6
530,7
531,5
532,4
533,4
534,3
535,4
536,3
537,7
538,2
539,5
540,2
541,4
542,4
543,4
544,4
545,7
546,4
547,4
548,9
549,3
550,8
551,4
552,1
553,1
554,1
555,10
556,2
557,3
558,2
559,3
560,3
561,3
562,3
563,3
564,3
565,5
566,4
567,4
568,4
569,10
570,9
571,8
572,9
573,10
574,8
575,5
576,9
577,7
578,9
579,4
580,10
581,10
582,5
583,10
584,9
585,5
586,8
587,8
588,8
589,8
590,3
591,10
592,9
593,9
594,9
595,9
596,8
597,8
598,10
599,10
600,10
601,1
602,3
603,1
604,3
605,1
606,2
607,9
608,2
609,2
610,2
611,3
612,3
613,3
614,4
615,3
616,4
617,4
618,4
619,4
620,4
621,5
622,10
623,5
624,9
625,5
626,6
627,6
628,3
629,6
630,6
631,7
632,6
633,9
634,4
635,9
636,4
637,3
638,4
639,4
640,4
641,9
642,4
643,9
644,9
645,9
646,4
647,4
648,4
649,4
650,9
651,1
652,1
653,1
654,1
655,1
656,5
657,2
658,2
659,7
660,2
661,3
662,4
663,3
664,4
665,8
666,4
667,4
668,8
669,4
670,4
671,5
672,5
673,4
674,5
675,5
676,10
677,6
678,6
679,6
680,6
681,7
682,6
683,7
684,9
685,7
686,8
687,4
688,8
689,8
690,8
691,9
692,9
693,9
694,9
695,9
696,4
697,10
698,10
699,10
700,10
701,3
702,4
703,8
704,3
705,4
706,2
707,3
708,2
709,2
710,2
711,3
712,3
713,2
714,3
715,2
716,4
717,4
718,4
719,4
720,4
721,7
722,7
723,7
724,7
725,5
726,4
727,7
728,6
729,4
730,6
731,6
732,6
733,5
734,3
735,6
736,4
737,2
738,2
739,4
740,4
741,4
742,9
743,9
744,9
745,9
746,10
747,4
748,4
749,4
750,4
751,1
752,3
753,1
754,1
755,1
756,2
757,2
758,2
759,2
760,2
761,3
762,3
763,3
764,3
765,3
766,4
767,4
768,4
769,4
770,4
771,10
772,5
773,5
774,9
775,9
776,6
777,6
778,6
779,6
780,6
781,7
782,7
783,7
784,7
785,6
786,8
787,8
788,3
789,5
790,9
791,9
792,9
793,9
794,9
795,9
796,4
797,9
798,4
799,10
800,10
801,7
802,3
803,3
804,1
805,1
806,2
807,2
808,2
809,2
810,2
811,3
812,3
813,3
814,3
815,3
816,4
817,4
818,4
819,4
820,4
821,5
822,5
823,5
824,3
825,10
826,10
827,6
828,6
829,10
830,3
831,4
832,10
833,7
834,7
835,7
836,8
837,8
838,8
839,10
840,8
841,3
842,9
843,9
844,1
845,9
846,4
847,10
848,10
849,10
850,10
851,1
852,1
853,1
854,1
855,1
856,2
857,6
858,9
859,2
860,2
861,3
862,4
863,3
864,4
865,3
866,8
867,4
868,4
869,4
870,4
871,10
872,10
873,5
874,5
875,9
876,10
877,6
878,6
879,6
880,6
881,6
882,7
883,6
884,10
885,6
886,4
887,3
888,3
889,3
890,8
891,3
892,9
